,ID,economy,latitude_x,longitude_x,country_code_x,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited,period,sign_contract_count,register_business_count,open_bank_account_count,discrimination_credit_prohibited_count,total_law_counts,Fam_A2F_Gender_LB,Fam_CM_SignContract_SC,Fam_CM_RegisterBiz_LB,Fam_CM_OpenBankAccount_LB
0,AFG1972,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1972.0,26.3,75.0,Yes,Yes,Yes,No,1972-1976,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
1,AFG1973,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1973.0,26.3,75.0,Yes,Yes,Yes,No,1972-1976,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
2,AFG1974,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1974.0,26.3,75.0,Yes,Yes,Yes,No,1972-1976,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
3,AFG1975,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1975.0,26.3,75.0,Yes,Yes,Yes,No,1972-1976,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
4,AFG1976,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1976.0,26.3,75.0,Yes,Yes,Yes,No,1972-1976,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
5,AFG1977,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1977.0,26.3,75.0,Yes,Yes,Yes,No,1977-1981,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
6,AFG1978,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1978.0,26.3,75.0,Yes,Yes,Yes,No,1977-1981,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
7,AFG1979,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1979.0,26.3,75.0,Yes,Yes,Yes,No,1977-1981,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
8,AFG1980,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1980.0,26.3,75.0,Yes,Yes,Yes,No,1977-1981,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
9,AFG1981,Afghanistan,33.93911,67.709953,AFG,South Asia,Low income,1981.0,26.3,75.0,Yes,Yes,Yes,No,1977-1981,1.0,1.0,1.0,0.0,3.0,No applicable provisions could be located,"Civil Code of the Republic of Afghanistan, Art. 39","Commercial Law, Arts. 4 and 8","Commercial Law, Art. 4"
