,ID,economy,country_code_x,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited,period,sign_contract_count,register_business_count,open_bank_account_count,discrimination_credit_prohibited_count,total_law_counts,country_code_y,latitude_x,longitude_x
0,AFG1972,Afghanistan,AFG,South Asia,Low income,1972,26.3,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AF,33.93911,67.709953
1,AFG1973,Afghanistan,AFG,South Asia,Low income,1973,26.3,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AF,33.93911,67.709953
2,AFG1974,Afghanistan,AFG,South Asia,Low income,1974,26.3,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AF,33.93911,67.709953
3,AFG1975,Afghanistan,AFG,South Asia,Low income,1975,26.3,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AF,33.93911,67.709953
4,AFG1976,Afghanistan,AFG,South Asia,Low income,1976,26.3,75,Yes,Yes,Yes,No,1972-1976,1,1,1,0,3,AF,33.93911,67.709953
5,AFG1977,Afghanistan,AFG,South Asia,Low income,1977,26.3,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AF,33.93911,67.709953
6,AFG1978,Afghanistan,AFG,South Asia,Low income,1978,26.3,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AF,33.93911,67.709953
7,AFG1979,Afghanistan,AFG,South Asia,Low income,1979,26.3,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AF,33.93911,67.709953
8,AFG1980,Afghanistan,AFG,South Asia,Low income,1980,26.3,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AF,33.93911,67.709953
9,AFG1981,Afghanistan,AFG,South Asia,Low income,1981,26.3,75,Yes,Yes,Yes,No,1977-1981,1,1,1,0,3,AF,33.93911,67.709953
10,AFG1982,Afghanistan,AFG,South Asia,Low income,1982,26.3,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AF,33.93911,67.709953
11,AFG1983,Afghanistan,AFG,South Asia,Low income,1983,26.3,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AF,33.93911,67.709953
12,AFG1984,Afghanistan,AFG,South Asia,Low income,1984,26.3,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AF,33.93911,67.709953
13,AFG1985,Afghanistan,AFG,South Asia,Low income,1985,26.3,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AF,33.93911,67.709953
14,AFG1986,Afghanistan,AFG,South Asia,Low income,1986,26.3,75,Yes,Yes,Yes,No,1982-1986,1,1,1,0,3,AF,33.93911,67.709953
15,AFG1987,Afghanistan,AFG,South Asia,Low income,1987,26.3,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AF,33.93911,67.709953
16,AFG1988,Afghanistan,AFG,South Asia,Low income,1988,26.3,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AF,33.93911,67.709953
17,AFG1989,Afghanistan,AFG,South Asia,Low income,1989,25.6,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AF,33.93911,67.709953
18,AFG1990,Afghanistan,AFG,South Asia,Low income,1990,25.6,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AF,33.93911,67.709953
19,AFG1991,Afghanistan,AFG,South Asia,Low income,1991,25.6,75,Yes,Yes,Yes,No,1987-1991,1,1,1,0,3,AF,33.93911,67.709953
20,AFG1992,Afghanistan,AFG,South Asia,Low income,1992,25.6,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AF,33.93911,67.709953
21,AFG1993,Afghanistan,AFG,South Asia,Low income,1993,25.6,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AF,33.93911,67.709953
22,AFG1994,Afghanistan,AFG,South Asia,Low income,1994,25.6,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AF,33.93911,67.709953
23,AFG1995,Afghanistan,AFG,South Asia,Low income,1995,25.6,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AF,33.93911,67.709953
24,AFG1996,Afghanistan,AFG,South Asia,Low income,1996,25.6,75,Yes,Yes,Yes,No,1992-1996,1,1,1,0,3,AF,33.93911,67.709953
25,AFG1997,Afghanistan,AFG,South Asia,Low income,1997,25.6,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AF,33.93911,67.709953
26,AFG1998,Afghanistan,AFG,South Asia,Low income,1998,25.6,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AF,33.93911,67.709953
27,AFG1999,Afghanistan,AFG,South Asia,Low income,1999,25.6,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AF,33.93911,67.709953
28,AFG2000,Afghanistan,AFG,South Asia,Low income,2000,26.3,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AF,33.93911,67.709953
29,AFG2001,Afghanistan,AFG,South Asia,Low income,2001,26.3,75,Yes,Yes,Yes,No,1997-2001,1,1,1,0,3,AF,33.93911,67.709953
30,AFG2002,Afghanistan,AFG,South Asia,Low income,2002,26.3,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AF,33.93911,67.709953
31,AFG2003,Afghanistan,AFG,South Asia,Low income,2003,26.3,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AF,33.93911,67.709953
32,AFG2004,Afghanistan,AFG,South Asia,Low income,2004,26.3,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AF,33.93911,67.709953
33,AFG2005,Afghanistan,AFG,South Asia,Low income,2005,26.3,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AF,33.93911,67.709953
34,AFG2006,Afghanistan,AFG,South Asia,Low income,2006,26.3,75,Yes,Yes,Yes,No,2002-2006,1,1,1,0,3,AF,33.93911,67.709953
35,AFG2007,Afghanistan,AFG,South Asia,Low income,2007,26.3,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AF,33.93911,67.709953
36,AFG2008,Afghanistan,AFG,South Asia,Low income,2008,28.8,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AF,33.93911,67.709953
37,AFG2009,Afghanistan,AFG,South Asia,Low income,2009,28.8,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AF,33.93911,67.709953
38,AFG2010,Afghanistan,AFG,South Asia,Low income,2010,28.8,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AF,33.93911,67.709953
39,AFG2011,Afghanistan,AFG,South Asia,Low income,2011,28.8,75,Yes,Yes,Yes,No,2007-2011,1,1,1,0,3,AF,33.93911,67.709953
40,AFG2012,Afghanistan,AFG,South Asia,Low income,2012,28.8,75,Yes,Yes,Yes,No,2012-2016,1,1,1,0,3,AF,33.93911,67.709953
41,AFG2013,Afghanistan,AFG,South Asia,Low income,2013,28.8,75,Yes,Yes,Yes,No,2012-2016,1,1,1,0,3,AF,33.93911,67.709953
42,AFG2014,Afghanistan,AFG,South Asia,Low income,2014,28.8,75,Yes,Yes,Yes,No,2012-2016,1,1,1,0,3,AF,33.93911,67.709953
43,AFG2015,Afghanistan,AFG,South Asia,Low income,2015,28.8,75,Yes,Yes,Yes,No,2012-2016,1,1,1,0,3,AF,33.93911,67.709953
44,AFG2016,Afghanistan,AFG,South Asia,Low income,2016,28.8,75,Yes,Yes,Yes,No,2012-2016,1,1,1,0,3,AF,33.93911,67.709953
45,AFG2017,Afghanistan,AFG,South Asia,Low income,2017,38.1,75,Yes,Yes,Yes,No,2017-2021,1,1,1,0,3,AF,33.93911,67.709953
46,AFG2018,Afghanistan,AFG,South Asia,Low income,2018,38.1,75,Yes,Yes,Yes,No,2017-2021,1,1,1,0,3,AF,33.93911,67.709953
47,AFG2019,Afghanistan,AFG,South Asia,Low income,2019,38.1,75,Yes,Yes,Yes,No,2017-2021,1,1,1,0,3,AF,33.93911,67.709953
48,AFG2020,Afghanistan,AFG,South Asia,Low income,2020,38.1,75,Yes,Yes,Yes,No,2017-2021,1,1,1,0,3,AF,33.93911,67.709953
49,AFG2021,Afghanistan,AFG,South Asia,Low income,2021,38.1,75,Yes,Yes,Yes,No,2017-2021,1,1,1,0,3,AF,33.93911,67.709953
50,AGO1972,Angola,AGO,Sub-Saharan Africa,Lower middle income,1972,30.6,0,No,No,No,No,1972-1976,0,0,0,0,0,AO,-11.202692,17.873887
51,AGO1973,Angola,AGO,Sub-Saharan Africa,Lower middle income,1973,30.6,0,No,No,No,No,1972-1976,0,0,0,0,0,AO,-11.202692,17.873887
52,AGO1974,Angola,AGO,Sub-Saharan Africa,Lower middle income,1974,30.6,0,No,No,No,No,1972-1976,0,0,0,0,0,AO,-11.202692,17.873887
53,AGO1975,Angola,AGO,Sub-Saharan Africa,Lower middle income,1975,30.6,0,No,No,No,No,1972-1976,0,0,0,0,0,AO,-11.202692,17.873887
54,AGO1976,Angola,AGO,Sub-Saharan Africa,Lower middle income,1976,30.6,0,No,No,No,No,1972-1976,0,0,0,0,0,AO,-11.202692,17.873887
