,Country,Income_group,Year,Share_of_female_sole_proprietors,difference_to_average_share
15,Austria,High income,2014,57.3,21.39213483146068
16,Austria,High income,2015,58.3,22.39213483146068
17,Austria,High income,2016,60.0,24.092134831460683
18,Austria,High income,2017,58.5,22.592134831460683
19,Austria,High income,2018,58.3,22.39213483146068
60,Chile,High income,2014,29.6,-6.3078651685393154
61,Chile,High income,2015,30.6,-5.3078651685393154
62,Chile,High income,2016,31.4,-4.507865168539318
63,Chile,High income,2017,32.7,-3.207865168539314
64,Chile,High income,2018,34.0,-1.9078651685393169
70,Croatia,High income,2014,32.4,-3.5078651685393183
71,Croatia,High income,2015,32.9,-3.0078651685393183
72,Croatia,High income,2016,33.1,-2.8078651685393154
73,Croatia,High income,2017,33.5,-2.407865168539317
74,Croatia,High income,2018,33.8,-2.1078651685393197
75,Denmark,High income,2014,35.2,-0.707865168539314
76,Denmark,High income,2015,37.4,1.4921348314606817
77,Denmark,High income,2016,37.2,1.292134831460686
78,Denmark,High income,2017,85.8,49.89213483146068
79,Denmark,High income,2018,37.6,1.6921348314606846
85,Estonia,High income,2014,51.1,15.192134831460685
86,Estonia,High income,2015,49.4,13.492134831460682
87,Estonia,High income,2016,49.7,13.792134831460686
88,Estonia,High income,2017,47.9,11.992134831460682
89,Estonia,High income,2018,45.8,9.89213483146068
95,France,High income,2014,38.5,2.592134831460683
96,France,High income,2015,39.6,3.6921348314606846
97,France,High income,2016,39.5,3.592134831460683
98,France,High income,2017,39.9,3.9921348314606817
99,France,High income,2018,38.8,2.8921348314606803
105,Germany,High income,2014,35.1,-0.8078651685393154
106,Germany,High income,2015,35.2,-0.707865168539314
107,Germany,High income,2016,35.4,-0.5078651685393183
108,Germany,High income,2017,35.4,-0.5078651685393183
109,Germany,High income,2018,35.0,-0.9078651685393169
155,Latvia,High income,2014,42.9,6.992134831460682
156,Latvia,High income,2015,41.2,5.292134831460686
157,Latvia,High income,2016,41.4,5.492134831460682
158,Latvia,High income,2017,43.1,7.1921348314606846
159,Latvia,High income,2018,35.5,-0.40786516853931687
185,Malta,High income,2014,34.5,-1.4078651685393169
186,Malta,High income,2015,33.2,-2.707865168539314
187,Malta,High income,2016,36.3,0.3921348314606803
188,Malta,High income,2017,36.9,0.9921348314606817
189,Malta,High income,2018,36.5,0.5921348314606831
225,Netherlands,High income,2014,39.9,3.9921348314606817
226,Netherlands,High income,2015,40.6,4.6921348314606846
227,Netherlands,High income,2016,42.9,6.992134831460682
228,Netherlands,High income,2017,41.3,5.39213483146068
229,Netherlands,High income,2018,40.0,4.092134831460683
235,Norway,High income,2014,33.3,-2.6078651685393197
236,Norway,High income,2015,33.0,-2.907865168539317
237,Norway,High income,2016,35.3,-0.6078651685393197
238,Norway,High income,2017,34.1,-1.8078651685393154
239,Norway,High income,2018,33.7,-2.207865168539314
240,Oman,High income,2014,23.1,-12.807865168539315
241,Oman,High income,2015,22.2,-13.707865168539318
242,Oman,High income,2016,23.9,-12.007865168539318
243,Oman,High income,2017,26.6,-9.307865168539315
244,Oman,High income,2018,29.7,-6.207865168539318
255,Poland,High income,2014,39.9,3.9921348314606817
256,Poland,High income,2015,37.7,1.792134831460686
257,Poland,High income,2016,35.3,-0.6078651685393197
260,Qatar,High income,2014,29.3,-6.607865168539316
261,Qatar,High income,2015,25.7,-10.207865168539318
262,Qatar,High income,2016,21.4,-14.507865168539318
263,Qatar,High income,2017,21.8,-14.107865168539316
264,Qatar,High income,2018,21.6,-14.307865168539315
295,Slovak Republic,High income,2014,28.4,-7.507865168539318
296,Slovak Republic,High income,2015,29.1,-6.8078651685393154
297,Slovak Republic,High income,2016,29.5,-6.407865168539317
298,Slovak Republic,High income,2017,30.1,-5.8078651685393154
299,Slovak Republic,High income,2018,28.8,-7.107865168539316
300,Slovenia,High income,2014,36.1,0.19213483146068455
301,Slovenia,High income,2015,38.0,2.092134831460683
302,Slovenia,High income,2016,38.7,2.792134831460686
303,Slovenia,High income,2017,39.1,3.1921348314606846
304,Slovenia,High income,2018,38.1,2.1921348314606846
324,Sweden,High income,2018,34.1,-1.8078651685393154
325,"Taiwan, China",High income,2014,34.6,-1.3078651685393154
326,"Taiwan, China",High income,2015,34.7,-1.207865168539314
327,"Taiwan, China",High income,2016,35.2,-0.707865168539314
328,"Taiwan, China",High income,2017,35.8,-0.10786516853931971
329,"Taiwan, China",High income,2018,35.2,-0.707865168539314
350,United Arab Emirates,High income,2014,13.5,-22.407865168539317
351,United Arab Emirates,High income,2015,13.7,-22.207865168539318
352,United Arab Emirates,High income,2016,14.9,-21.00786516853932
353,United Arab Emirates,High income,2017,14.1,-21.807865168539315
354,United Arab Emirates,High income,2018,14.4,-21.50786516853932
