,ID,economy,wbcodev2,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited
0,AFG1971,Afghanistan,AFG,South Asia,Low income,1971,26.3,75,Yes,Yes,Yes,No
1,AFG1972,Afghanistan,AFG,South Asia,Low income,1972,26.3,75,Yes,Yes,Yes,No
2,AFG1973,Afghanistan,AFG,South Asia,Low income,1973,26.3,75,Yes,Yes,Yes,No
3,AFG1974,Afghanistan,AFG,South Asia,Low income,1974,26.3,75,Yes,Yes,Yes,No
4,AFG1975,Afghanistan,AFG,South Asia,Low income,1975,26.3,75,Yes,Yes,Yes,No
5,AFG1976,Afghanistan,AFG,South Asia,Low income,1976,26.3,75,Yes,Yes,Yes,No
6,AFG1977,Afghanistan,AFG,South Asia,Low income,1977,26.3,75,Yes,Yes,Yes,No
7,AFG1978,Afghanistan,AFG,South Asia,Low income,1978,26.3,75,Yes,Yes,Yes,No
8,AFG1979,Afghanistan,AFG,South Asia,Low income,1979,26.3,75,Yes,Yes,Yes,No
9,AFG1980,Afghanistan,AFG,South Asia,Low income,1980,26.3,75,Yes,Yes,Yes,No
10,AFG1981,Afghanistan,AFG,South Asia,Low income,1981,26.3,75,Yes,Yes,Yes,No
11,AFG1982,Afghanistan,AFG,South Asia,Low income,1982,26.3,75,Yes,Yes,Yes,No
12,AFG1983,Afghanistan,AFG,South Asia,Low income,1983,26.3,75,Yes,Yes,Yes,No
13,AFG1984,Afghanistan,AFG,South Asia,Low income,1984,26.3,75,Yes,Yes,Yes,No
14,AFG1985,Afghanistan,AFG,South Asia,Low income,1985,26.3,75,Yes,Yes,Yes,No
15,AFG1986,Afghanistan,AFG,South Asia,Low income,1986,26.3,75,Yes,Yes,Yes,No
16,AFG1987,Afghanistan,AFG,South Asia,Low income,1987,26.3,75,Yes,Yes,Yes,No
17,AFG1988,Afghanistan,AFG,South Asia,Low income,1988,26.3,75,Yes,Yes,Yes,No
18,AFG1989,Afghanistan,AFG,South Asia,Low income,1989,25.6,75,Yes,Yes,Yes,No
19,AFG1990,Afghanistan,AFG,South Asia,Low income,1990,25.6,75,Yes,Yes,Yes,No
20,AFG1991,Afghanistan,AFG,South Asia,Low income,1991,25.6,75,Yes,Yes,Yes,No
21,AFG1992,Afghanistan,AFG,South Asia,Low income,1992,25.6,75,Yes,Yes,Yes,No
22,AFG1993,Afghanistan,AFG,South Asia,Low income,1993,25.6,75,Yes,Yes,Yes,No
23,AFG1994,Afghanistan,AFG,South Asia,Low income,1994,25.6,75,Yes,Yes,Yes,No
24,AFG1995,Afghanistan,AFG,South Asia,Low income,1995,25.6,75,Yes,Yes,Yes,No
25,AFG1996,Afghanistan,AFG,South Asia,Low income,1996,25.6,75,Yes,Yes,Yes,No
26,AFG1997,Afghanistan,AFG,South Asia,Low income,1997,25.6,75,Yes,Yes,Yes,No
27,AFG1998,Afghanistan,AFG,South Asia,Low income,1998,25.6,75,Yes,Yes,Yes,No
28,AFG1999,Afghanistan,AFG,South Asia,Low income,1999,25.6,75,Yes,Yes,Yes,No
29,AFG2000,Afghanistan,AFG,South Asia,Low income,2000,26.3,75,Yes,Yes,Yes,No
30,AFG2001,Afghanistan,AFG,South Asia,Low income,2001,26.3,75,Yes,Yes,Yes,No
31,AFG2002,Afghanistan,AFG,South Asia,Low income,2002,26.3,75,Yes,Yes,Yes,No
32,AFG2003,Afghanistan,AFG,South Asia,Low income,2003,26.3,75,Yes,Yes,Yes,No
33,AFG2004,Afghanistan,AFG,South Asia,Low income,2004,26.3,75,Yes,Yes,Yes,No
34,AFG2005,Afghanistan,AFG,South Asia,Low income,2005,26.3,75,Yes,Yes,Yes,No
35,AFG2006,Afghanistan,AFG,South Asia,Low income,2006,26.3,75,Yes,Yes,Yes,No
36,AFG2007,Afghanistan,AFG,South Asia,Low income,2007,26.3,75,Yes,Yes,Yes,No
37,AFG2008,Afghanistan,AFG,South Asia,Low income,2008,28.8,75,Yes,Yes,Yes,No
38,AFG2009,Afghanistan,AFG,South Asia,Low income,2009,28.8,75,Yes,Yes,Yes,No
39,AFG2010,Afghanistan,AFG,South Asia,Low income,2010,28.8,75,Yes,Yes,Yes,No
40,AFG2011,Afghanistan,AFG,South Asia,Low income,2011,28.8,75,Yes,Yes,Yes,No
41,AFG2012,Afghanistan,AFG,South Asia,Low income,2012,28.8,75,Yes,Yes,Yes,No
42,AFG2013,Afghanistan,AFG,South Asia,Low income,2013,28.8,75,Yes,Yes,Yes,No
43,AFG2014,Afghanistan,AFG,South Asia,Low income,2014,28.8,75,Yes,Yes,Yes,No
44,AFG2015,Afghanistan,AFG,South Asia,Low income,2015,28.8,75,Yes,Yes,Yes,No
45,AFG2016,Afghanistan,AFG,South Asia,Low income,2016,28.8,75,Yes,Yes,Yes,No
46,AFG2017,Afghanistan,AFG,South Asia,Low income,2017,38.1,75,Yes,Yes,Yes,No
