,Unnamed: 0,ID,economy,wbcodev2,Region,Income_group,reportyr,WBL INDEX,ENTREPRENEURSHIP,sign_contract,register_business,open_bank_account,discrimination_credit_prohibited,period
1,1,AFG1972,Afghanistan,AFG,South Asia,Low income,1972,26.3,75,Yes,Yes,Yes,No,1972-1976
2,2,AFG1973,Afghanistan,AFG,South Asia,Low income,1973,26.3,75,Yes,Yes,Yes,No,1972-1976
3,3,AFG1974,Afghanistan,AFG,South Asia,Low income,1974,26.3,75,Yes,Yes,Yes,No,1972-1976
4,4,AFG1975,Afghanistan,AFG,South Asia,Low income,1975,26.3,75,Yes,Yes,Yes,No,1972-1976
5,5,AFG1976,Afghanistan,AFG,South Asia,Low income,1976,26.3,75,Yes,Yes,Yes,No,1972-1976
6,6,AFG1977,Afghanistan,AFG,South Asia,Low income,1977,26.3,75,Yes,Yes,Yes,No,1977-1981
7,7,AFG1978,Afghanistan,AFG,South Asia,Low income,1978,26.3,75,Yes,Yes,Yes,No,1977-1981
8,8,AFG1979,Afghanistan,AFG,South Asia,Low income,1979,26.3,75,Yes,Yes,Yes,No,1977-1981
9,9,AFG1980,Afghanistan,AFG,South Asia,Low income,1980,26.3,75,Yes,Yes,Yes,No,1977-1981
10,10,AFG1981,Afghanistan,AFG,South Asia,Low income,1981,26.3,75,Yes,Yes,Yes,No,1977-1981
11,11,AFG1982,Afghanistan,AFG,South Asia,Low income,1982,26.3,75,Yes,Yes,Yes,No,1982-1986
12,12,AFG1983,Afghanistan,AFG,South Asia,Low income,1983,26.3,75,Yes,Yes,Yes,No,1982-1986
13,13,AFG1984,Afghanistan,AFG,South Asia,Low income,1984,26.3,75,Yes,Yes,Yes,No,1982-1986
14,14,AFG1985,Afghanistan,AFG,South Asia,Low income,1985,26.3,75,Yes,Yes,Yes,No,1982-1986
15,15,AFG1986,Afghanistan,AFG,South Asia,Low income,1986,26.3,75,Yes,Yes,Yes,No,1982-1986
16,16,AFG1987,Afghanistan,AFG,South Asia,Low income,1987,26.3,75,Yes,Yes,Yes,No,1987-1991
17,17,AFG1988,Afghanistan,AFG,South Asia,Low income,1988,26.3,75,Yes,Yes,Yes,No,1987-1991
18,18,AFG1989,Afghanistan,AFG,South Asia,Low income,1989,25.6,75,Yes,Yes,Yes,No,1987-1991
19,19,AFG1990,Afghanistan,AFG,South Asia,Low income,1990,25.6,75,Yes,Yes,Yes,No,1987-1991
20,20,AFG1991,Afghanistan,AFG,South Asia,Low income,1991,25.6,75,Yes,Yes,Yes,No,1987-1991
21,21,AFG1992,Afghanistan,AFG,South Asia,Low income,1992,25.6,75,Yes,Yes,Yes,No,1992-1996
22,22,AFG1993,Afghanistan,AFG,South Asia,Low income,1993,25.6,75,Yes,Yes,Yes,No,1992-1996
23,23,AFG1994,Afghanistan,AFG,South Asia,Low income,1994,25.6,75,Yes,Yes,Yes,No,1992-1996
24,24,AFG1995,Afghanistan,AFG,South Asia,Low income,1995,25.6,75,Yes,Yes,Yes,No,1992-1996
25,25,AFG1996,Afghanistan,AFG,South Asia,Low income,1996,25.6,75,Yes,Yes,Yes,No,1992-1996
26,26,AFG1997,Afghanistan,AFG,South Asia,Low income,1997,25.6,75,Yes,Yes,Yes,No,1997-2001
27,27,AFG1998,Afghanistan,AFG,South Asia,Low income,1998,25.6,75,Yes,Yes,Yes,No,1997-2001
28,28,AFG1999,Afghanistan,AFG,South Asia,Low income,1999,25.6,75,Yes,Yes,Yes,No,1997-2001
29,29,AFG2000,Afghanistan,AFG,South Asia,Low income,2000,26.3,75,Yes,Yes,Yes,No,1997-2001
30,30,AFG2001,Afghanistan,AFG,South Asia,Low income,2001,26.3,75,Yes,Yes,Yes,No,1997-2001
31,31,AFG2002,Afghanistan,AFG,South Asia,Low income,2002,26.3,75,Yes,Yes,Yes,No,2002-2006
32,32,AFG2003,Afghanistan,AFG,South Asia,Low income,2003,26.3,75,Yes,Yes,Yes,No,2002-2006
33,33,AFG2004,Afghanistan,AFG,South Asia,Low income,2004,26.3,75,Yes,Yes,Yes,No,2002-2006
34,34,AFG2005,Afghanistan,AFG,South Asia,Low income,2005,26.3,75,Yes,Yes,Yes,No,2002-2006
35,35,AFG2006,Afghanistan,AFG,South Asia,Low income,2006,26.3,75,Yes,Yes,Yes,No,2002-2006
36,36,AFG2007,Afghanistan,AFG,South Asia,Low income,2007,26.3,75,Yes,Yes,Yes,No,2007-2011
37,37,AFG2008,Afghanistan,AFG,South Asia,Low income,2008,28.8,75,Yes,Yes,Yes,No,2007-2011
38,38,AFG2009,Afghanistan,AFG,South Asia,Low income,2009,28.8,75,Yes,Yes,Yes,No,2007-2011
39,39,AFG2010,Afghanistan,AFG,South Asia,Low income,2010,28.8,75,Yes,Yes,Yes,No,2007-2011
40,40,AFG2011,Afghanistan,AFG,South Asia,Low income,2011,28.8,75,Yes,Yes,Yes,No,2007-2011
41,41,AFG2012,Afghanistan,AFG,South Asia,Low income,2012,28.8,75,Yes,Yes,Yes,No,2012-2016
42,42,AFG2013,Afghanistan,AFG,South Asia,Low income,2013,28.8,75,Yes,Yes,Yes,No,2012-2016
43,43,AFG2014,Afghanistan,AFG,South Asia,Low income,2014,28.8,75,Yes,Yes,Yes,No,2012-2016
44,44,AFG2015,Afghanistan,AFG,South Asia,Low income,2015,28.8,75,Yes,Yes,Yes,No,2012-2016
45,45,AFG2016,Afghanistan,AFG,South Asia,Low income,2016,28.8,75,Yes,Yes,Yes,No,2012-2016
46,46,AFG2017,Afghanistan,AFG,South Asia,Low income,2017,38.1,75,Yes,Yes,Yes,No,2017-2021
47,47,AFG2018,Afghanistan,AFG,South Asia,Low income,2018,38.1,75,Yes,Yes,Yes,No,2017-2021
48,48,AFG2019,Afghanistan,AFG,South Asia,Low income,2019,38.1,75,Yes,Yes,Yes,No,2017-2021
49,49,AFG2020,Afghanistan,AFG,South Asia,Low income,2020,38.1,75,Yes,Yes,Yes,No,2017-2021
50,50,AFG2021,Afghanistan,AFG,South Asia,Low income,2021,38.1,75,Yes,Yes,Yes,No,2017-2021
52,52,AGO1972,Angola,AGO,Sub-Saharan Africa,Lower middle income,1972,30.6,0,No,No,No,No,1972-1976
53,53,AGO1973,Angola,AGO,Sub-Saharan Africa,Lower middle income,1973,30.6,0,No,No,No,No,1972-1976
54,54,AGO1974,Angola,AGO,Sub-Saharan Africa,Lower middle income,1974,30.6,0,No,No,No,No,1972-1976
55,55,AGO1975,Angola,AGO,Sub-Saharan Africa,Lower middle income,1975,30.6,0,No,No,No,No,1972-1976
56,56,AGO1976,Angola,AGO,Sub-Saharan Africa,Lower middle income,1976,30.6,0,No,No,No,No,1972-1976
57,57,AGO1977,Angola,AGO,Sub-Saharan Africa,Lower middle income,1977,30.6,0,No,No,No,No,1977-1981
58,58,AGO1978,Angola,AGO,Sub-Saharan Africa,Lower middle income,1978,30.6,0,No,No,No,No,1977-1981
59,59,AGO1979,Angola,AGO,Sub-Saharan Africa,Lower middle income,1979,30.6,0,No,No,No,No,1977-1981
60,60,AGO1980,Angola,AGO,Sub-Saharan Africa,Lower middle income,1980,30.6,0,No,No,No,No,1977-1981
61,61,AGO1981,Angola,AGO,Sub-Saharan Africa,Lower middle income,1981,30.6,0,No,No,No,No,1977-1981
62,62,AGO1982,Angola,AGO,Sub-Saharan Africa,Lower middle income,1982,30.6,0,No,No,No,No,1982-1986
63,63,AGO1983,Angola,AGO,Sub-Saharan Africa,Lower middle income,1983,33.1,0,No,No,No,No,1982-1986
64,64,AGO1984,Angola,AGO,Sub-Saharan Africa,Lower middle income,1984,33.1,0,No,No,No,No,1982-1986
65,65,AGO1985,Angola,AGO,Sub-Saharan Africa,Lower middle income,1985,33.1,0,No,No,No,No,1982-1986
66,66,AGO1986,Angola,AGO,Sub-Saharan Africa,Lower middle income,1986,33.1,0,No,No,No,No,1982-1986
67,67,AGO1987,Angola,AGO,Sub-Saharan Africa,Lower middle income,1987,33.1,0,No,No,No,No,1987-1991
68,68,AGO1988,Angola,AGO,Sub-Saharan Africa,Lower middle income,1988,33.1,0,No,No,No,No,1987-1991
69,69,AGO1989,Angola,AGO,Sub-Saharan Africa,Lower middle income,1989,56.3,75,Yes,Yes,Yes,No,1987-1991
70,70,AGO1990,Angola,AGO,Sub-Saharan Africa,Lower middle income,1990,56.3,75,Yes,Yes,Yes,No,1987-1991
71,71,AGO1991,Angola,AGO,Sub-Saharan Africa,Lower middle income,1991,56.3,75,Yes,Yes,Yes,No,1987-1991
72,72,AGO1992,Angola,AGO,Sub-Saharan Africa,Lower middle income,1992,56.3,75,Yes,Yes,Yes,No,1992-1996
73,73,AGO1993,Angola,AGO,Sub-Saharan Africa,Lower middle income,1993,56.3,75,Yes,Yes,Yes,No,1992-1996
74,74,AGO1994,Angola,AGO,Sub-Saharan Africa,Lower middle income,1994,56.3,75,Yes,Yes,Yes,No,1992-1996
75,75,AGO1995,Angola,AGO,Sub-Saharan Africa,Lower middle income,1995,56.3,75,Yes,Yes,Yes,No,1992-1996
76,76,AGO1996,Angola,AGO,Sub-Saharan Africa,Lower middle income,1996,56.3,75,Yes,Yes,Yes,No,1992-1996
77,77,AGO1997,Angola,AGO,Sub-Saharan Africa,Lower middle income,1997,56.3,75,Yes,Yes,Yes,No,1997-2001
78,78,AGO1998,Angola,AGO,Sub-Saharan Africa,Lower middle income,1998,56.3,75,Yes,Yes,Yes,No,1997-2001
79,79,AGO1999,Angola,AGO,Sub-Saharan Africa,Lower middle income,1999,56.3,75,Yes,Yes,Yes,No,1997-2001
80,80,AGO2000,Angola,AGO,Sub-Saharan Africa,Lower middle income,2000,56.3,75,Yes,Yes,Yes,No,1997-2001
81,81,AGO2001,Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,62.5,75,Yes,Yes,Yes,No,1997-2001
82,82,AGO2002,Angola,AGO,Sub-Saharan Africa,Lower middle income,2002,62.5,75,Yes,Yes,Yes,No,2002-2006
83,83,AGO2003,Angola,AGO,Sub-Saharan Africa,Lower middle income,2003,62.5,75,Yes,Yes,Yes,No,2002-2006
84,84,AGO2004,Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,62.5,75,Yes,Yes,Yes,No,2002-2006
85,85,AGO2005,Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,62.5,75,Yes,Yes,Yes,No,2002-2006
86,86,AGO2006,Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,62.5,75,Yes,Yes,Yes,No,2002-2006
87,87,AGO2007,Angola,AGO,Sub-Saharan Africa,Lower middle income,2007,62.5,75,Yes,Yes,Yes,No,2007-2011
88,88,AGO2008,Angola,AGO,Sub-Saharan Africa,Lower middle income,2008,62.5,75,Yes,Yes,Yes,No,2007-2011
89,89,AGO2009,Angola,AGO,Sub-Saharan Africa,Lower middle income,2009,62.5,75,Yes,Yes,Yes,No,2007-2011
90,90,AGO2010,Angola,AGO,Sub-Saharan Africa,Lower middle income,2010,62.5,75,Yes,Yes,Yes,No,2007-2011
91,91,AGO2011,Angola,AGO,Sub-Saharan Africa,Lower middle income,2011,62.5,75,Yes,Yes,Yes,No,2007-2011
92,92,AGO2012,Angola,AGO,Sub-Saharan Africa,Lower middle income,2012,65.0,75,Yes,Yes,Yes,No,2012-2016
93,93,AGO2013,Angola,AGO,Sub-Saharan Africa,Lower middle income,2013,70.6,100,Yes,Yes,Yes,Yes,2012-2016
94,94,AGO2014,Angola,AGO,Sub-Saharan Africa,Lower middle income,2014,70.6,100,Yes,Yes,Yes,Yes,2012-2016
95,95,AGO2015,Angola,AGO,Sub-Saharan Africa,Lower middle income,2015,70.6,100,Yes,Yes,Yes,Yes,2012-2016
96,96,AGO2016,Angola,AGO,Sub-Saharan Africa,Lower middle income,2016,70.6,100,Yes,Yes,Yes,Yes,2012-2016
97,97,AGO2017,Angola,AGO,Sub-Saharan Africa,Lower middle income,2017,73.1,100,Yes,Yes,Yes,Yes,2017-2021
98,98,AGO2018,Angola,AGO,Sub-Saharan Africa,Lower middle income,2018,73.1,100,Yes,Yes,Yes,Yes,2017-2021
99,99,AGO2019,Angola,AGO,Sub-Saharan Africa,Lower middle income,2019,73.1,100,Yes,Yes,Yes,Yes,2017-2021
100,100,AGO2020,Angola,AGO,Sub-Saharan Africa,Lower middle income,2020,73.1,100,Yes,Yes,Yes,Yes,2017-2021
101,101,AGO2021,Angola,AGO,Sub-Saharan Africa,Lower middle income,2021,73.1,100,Yes,Yes,Yes,Yes,2017-2021
103,103,ALB1972,Albania,ALB,Europe & Central Asia,Upper middle income,1972,59.4,75,Yes,Yes,Yes,No,1972-1976
104,104,ALB1973,Albania,ALB,Europe & Central Asia,Upper middle income,1973,59.4,75,Yes,Yes,Yes,No,1972-1976
105,105,ALB1974,Albania,ALB,Europe & Central Asia,Upper middle income,1974,59.4,75,Yes,Yes,Yes,No,1972-1976
106,106,ALB1975,Albania,ALB,Europe & Central Asia,Upper middle income,1975,59.4,75,Yes,Yes,Yes,No,1972-1976
107,107,ALB1976,Albania,ALB,Europe & Central Asia,Upper middle income,1976,59.4,75,Yes,Yes,Yes,No,1972-1976
108,108,ALB1977,Albania,ALB,Europe & Central Asia,Upper middle income,1977,59.4,75,Yes,Yes,Yes,No,1977-1981
109,109,ALB1978,Albania,ALB,Europe & Central Asia,Upper middle income,1978,59.4,75,Yes,Yes,Yes,No,1977-1981
110,110,ALB1979,Albania,ALB,Europe & Central Asia,Upper middle income,1979,59.4,75,Yes,Yes,Yes,No,1977-1981
111,111,ALB1980,Albania,ALB,Europe & Central Asia,Upper middle income,1980,59.4,75,Yes,Yes,Yes,No,1977-1981
112,112,ALB1981,Albania,ALB,Europe & Central Asia,Upper middle income,1981,59.4,75,Yes,Yes,Yes,No,1977-1981
113,113,ALB1982,Albania,ALB,Europe & Central Asia,Upper middle income,1982,59.4,75,Yes,Yes,Yes,No,1982-1986
114,114,ALB1983,Albania,ALB,Europe & Central Asia,Upper middle income,1983,59.4,75,Yes,Yes,Yes,No,1982-1986
115,115,ALB1984,Albania,ALB,Europe & Central Asia,Upper middle income,1984,59.4,75,Yes,Yes,Yes,No,1982-1986
116,116,ALB1985,Albania,ALB,Europe & Central Asia,Upper middle income,1985,59.4,75,Yes,Yes,Yes,No,1982-1986
117,117,ALB1986,Albania,ALB,Europe & Central Asia,Upper middle income,1986,59.4,75,Yes,Yes,Yes,No,1982-1986
118,118,ALB1987,Albania,ALB,Europe & Central Asia,Upper middle income,1987,59.4,75,Yes,Yes,Yes,No,1987-1991
119,119,ALB1988,Albania,ALB,Europe & Central Asia,Upper middle income,1988,59.4,75,Yes,Yes,Yes,No,1987-1991
120,120,ALB1989,Albania,ALB,Europe & Central Asia,Upper middle income,1989,59.4,75,Yes,Yes,Yes,No,1987-1991
121,121,ALB1990,Albania,ALB,Europe & Central Asia,Upper middle income,1990,59.4,75,Yes,Yes,Yes,No,1987-1991
122,122,ALB1991,Albania,ALB,Europe & Central Asia,Upper middle income,1991,59.4,75,Yes,Yes,Yes,No,1987-1991
123,123,ALB1992,Albania,ALB,Europe & Central Asia,Upper middle income,1992,59.4,75,Yes,Yes,Yes,No,1992-1996
124,124,ALB1993,Albania,ALB,Europe & Central Asia,Upper middle income,1993,59.4,75,Yes,Yes,Yes,No,1992-1996
125,125,ALB1994,Albania,ALB,Europe & Central Asia,Upper middle income,1994,65.0,75,Yes,Yes,Yes,No,1992-1996
126,126,ALB1995,Albania,ALB,Europe & Central Asia,Upper middle income,1995,65.0,75,Yes,Yes,Yes,No,1992-1996
127,127,ALB1996,Albania,ALB,Europe & Central Asia,Upper middle income,1996,65.0,75,Yes,Yes,Yes,No,1992-1996
128,128,ALB1997,Albania,ALB,Europe & Central Asia,Upper middle income,1997,80.0,75,Yes,Yes,Yes,No,1997-2001
129,129,ALB1998,Albania,ALB,Europe & Central Asia,Upper middle income,1998,80.0,75,Yes,Yes,Yes,No,1997-2001
130,130,ALB1999,Albania,ALB,Europe & Central Asia,Upper middle income,1999,80.0,75,Yes,Yes,Yes,No,1997-2001
131,131,ALB2000,Albania,ALB,Europe & Central Asia,Upper middle income,2000,80.0,75,Yes,Yes,Yes,No,1997-2001
132,132,ALB2001,Albania,ALB,Europe & Central Asia,Upper middle income,2001,80.0,75,Yes,Yes,Yes,No,1997-2001
133,133,ALB2002,Albania,ALB,Europe & Central Asia,Upper middle income,2002,80.0,75,Yes,Yes,Yes,No,2002-2006
134,134,ALB2003,Albania,ALB,Europe & Central Asia,Upper middle income,2003,80.0,75,Yes,Yes,Yes,No,2002-2006
135,135,ALB2004,Albania,ALB,Europe & Central Asia,Upper middle income,2004,80.0,75,Yes,Yes,Yes,No,2002-2006
136,136,ALB2005,Albania,ALB,Europe & Central Asia,Upper middle income,2005,80.0,75,Yes,Yes,Yes,No,2002-2006
137,137,ALB2006,Albania,ALB,Europe & Central Asia,Upper middle income,2006,80.0,75,Yes,Yes,Yes,No,2002-2006
138,138,ALB2007,Albania,ALB,Europe & Central Asia,Upper middle income,2007,80.0,75,Yes,Yes,Yes,No,2007-2011
139,139,ALB2008,Albania,ALB,Europe & Central Asia,Upper middle income,2008,82.5,75,Yes,Yes,Yes,No,2007-2011
140,140,ALB2009,Albania,ALB,Europe & Central Asia,Upper middle income,2009,82.5,75,Yes,Yes,Yes,No,2007-2011
141,141,ALB2010,Albania,ALB,Europe & Central Asia,Upper middle income,2010,82.5,75,Yes,Yes,Yes,No,2007-2011
142,142,ALB2011,Albania,ALB,Europe & Central Asia,Upper middle income,2011,85.6,100,Yes,Yes,Yes,Yes,2007-2011
143,143,ALB2012,Albania,ALB,Europe & Central Asia,Upper middle income,2012,85.6,100,Yes,Yes,Yes,Yes,2012-2016
144,144,ALB2013,Albania,ALB,Europe & Central Asia,Upper middle income,2013,85.6,100,Yes,Yes,Yes,Yes,2012-2016
145,145,ALB2014,Albania,ALB,Europe & Central Asia,Upper middle income,2014,85.6,100,Yes,Yes,Yes,Yes,2012-2016
146,146,ALB2015,Albania,ALB,Europe & Central Asia,Upper middle income,2015,85.6,100,Yes,Yes,Yes,Yes,2012-2016
147,147,ALB2016,Albania,ALB,Europe & Central Asia,Upper middle income,2016,85.6,100,Yes,Yes,Yes,Yes,2012-2016
148,148,ALB2017,Albania,ALB,Europe & Central Asia,Upper middle income,2017,91.3,100,Yes,Yes,Yes,Yes,2017-2021
149,149,ALB2018,Albania,ALB,Europe & Central Asia,Upper middle income,2018,91.3,100,Yes,Yes,Yes,Yes,2017-2021
150,150,ALB2019,Albania,ALB,Europe & Central Asia,Upper middle income,2019,91.3,100,Yes,Yes,Yes,Yes,2017-2021
151,151,ALB2020,Albania,ALB,Europe & Central Asia,Upper middle income,2020,91.3,100,Yes,Yes,Yes,Yes,2017-2021
152,152,ALB2021,Albania,ALB,Europe & Central Asia,Upper middle income,2021,91.3,100,Yes,Yes,Yes,Yes,2017-2021
154,154,ARE1972,United Arab Emirates,ARE,Middle East & North Africa,High income,1972,17.5,75,Yes,Yes,Yes,No,1972-1976
155,155,ARE1973,United Arab Emirates,ARE,Middle East & North Africa,High income,1973,17.5,75,Yes,Yes,Yes,No,1972-1976
156,156,ARE1974,United Arab Emirates,ARE,Middle East & North Africa,High income,1974,17.5,75,Yes,Yes,Yes,No,1972-1976
157,157,ARE1975,United Arab Emirates,ARE,Middle East & North Africa,High income,1975,17.5,75,Yes,Yes,Yes,No,1972-1976
158,158,ARE1976,United Arab Emirates,ARE,Middle East & North Africa,High income,1976,17.5,75,Yes,Yes,Yes,No,1972-1976
159,159,ARE1977,United Arab Emirates,ARE,Middle East & North Africa,High income,1977,17.5,75,Yes,Yes,Yes,No,1977-1981
160,160,ARE1978,United Arab Emirates,ARE,Middle East & North Africa,High income,1978,17.5,75,Yes,Yes,Yes,No,1977-1981
161,161,ARE1979,United Arab Emirates,ARE,Middle East & North Africa,High income,1979,17.5,75,Yes,Yes,Yes,No,1977-1981
162,162,ARE1980,United Arab Emirates,ARE,Middle East & North Africa,High income,1980,17.5,75,Yes,Yes,Yes,No,1977-1981
163,163,ARE1981,United Arab Emirates,ARE,Middle East & North Africa,High income,1981,17.5,75,Yes,Yes,Yes,No,1977-1981
164,164,ARE1982,United Arab Emirates,ARE,Middle East & North Africa,High income,1982,17.5,75,Yes,Yes,Yes,No,1982-1986
165,165,ARE1983,United Arab Emirates,ARE,Middle East & North Africa,High income,1983,17.5,75,Yes,Yes,Yes,No,1982-1986
166,166,ARE1984,United Arab Emirates,ARE,Middle East & North Africa,High income,1984,17.5,75,Yes,Yes,Yes,No,1982-1986
167,167,ARE1985,United Arab Emirates,ARE,Middle East & North Africa,High income,1985,17.5,75,Yes,Yes,Yes,No,1982-1986
168,168,ARE1986,United Arab Emirates,ARE,Middle East & North Africa,High income,1986,17.5,75,Yes,Yes,Yes,No,1982-1986
169,169,ARE1987,United Arab Emirates,ARE,Middle East & North Africa,High income,1987,17.5,75,Yes,Yes,Yes,No,1987-1991
170,170,ARE1988,United Arab Emirates,ARE,Middle East & North Africa,High income,1988,17.5,75,Yes,Yes,Yes,No,1987-1991
171,171,ARE1989,United Arab Emirates,ARE,Middle East & North Africa,High income,1989,17.5,75,Yes,Yes,Yes,No,1987-1991
172,172,ARE1990,United Arab Emirates,ARE,Middle East & North Africa,High income,1990,17.5,75,Yes,Yes,Yes,No,1987-1991
173,173,ARE1991,United Arab Emirates,ARE,Middle East & North Africa,High income,1991,17.5,75,Yes,Yes,Yes,No,1987-1991
174,174,ARE1992,United Arab Emirates,ARE,Middle East & North Africa,High income,1992,17.5,75,Yes,Yes,Yes,No,1992-1996
175,175,ARE1993,United Arab Emirates,ARE,Middle East & North Africa,High income,1993,17.5,75,Yes,Yes,Yes,No,1992-1996
176,176,ARE1994,United Arab Emirates,ARE,Middle East & North Africa,High income,1994,17.5,75,Yes,Yes,Yes,No,1992-1996
177,177,ARE1995,United Arab Emirates,ARE,Middle East & North Africa,High income,1995,17.5,75,Yes,Yes,Yes,No,1992-1996
178,178,ARE1996,United Arab Emirates,ARE,Middle East & North Africa,High income,1996,17.5,75,Yes,Yes,Yes,No,1992-1996
179,179,ARE1997,United Arab Emirates,ARE,Middle East & North Africa,High income,1997,17.5,75,Yes,Yes,Yes,No,1997-2001
180,180,ARE1998,United Arab Emirates,ARE,Middle East & North Africa,High income,1998,17.5,75,Yes,Yes,Yes,No,1997-2001
181,181,ARE1999,United Arab Emirates,ARE,Middle East & North Africa,High income,1999,17.5,75,Yes,Yes,Yes,No,1997-2001
182,182,ARE2000,United Arab Emirates,ARE,Middle East & North Africa,High income,2000,26.9,75,Yes,Yes,Yes,No,1997-2001
183,183,ARE2001,United Arab Emirates,ARE,Middle East & North Africa,High income,2001,26.9,75,Yes,Yes,Yes,No,1997-2001
184,184,ARE2002,United Arab Emirates,ARE,Middle East & North Africa,High income,2002,26.9,75,Yes,Yes,Yes,No,2002-2006
185,185,ARE2003,United Arab Emirates,ARE,Middle East & North Africa,High income,2003,26.9,75,Yes,Yes,Yes,No,2002-2006
186,186,ARE2004,United Arab Emirates,ARE,Middle East & North Africa,High income,2004,26.9,75,Yes,Yes,Yes,No,2002-2006
187,187,ARE2005,United Arab Emirates,ARE,Middle East & North Africa,High income,2005,26.9,75,Yes,Yes,Yes,No,2002-2006
188,188,ARE2006,United Arab Emirates,ARE,Middle East & North Africa,High income,2006,26.9,75,Yes,Yes,Yes,No,2002-2006
189,189,ARE2007,United Arab Emirates,ARE,Middle East & North Africa,High income,2007,26.9,75,Yes,Yes,Yes,No,2007-2011
190,190,ARE2008,United Arab Emirates,ARE,Middle East & North Africa,High income,2008,26.9,75,Yes,Yes,Yes,No,2007-2011
191,191,ARE2009,United Arab Emirates,ARE,Middle East & North Africa,High income,2009,26.9,75,Yes,Yes,Yes,No,2007-2011
192,192,ARE2010,United Arab Emirates,ARE,Middle East & North Africa,High income,2010,26.9,75,Yes,Yes,Yes,No,2007-2011
193,193,ARE2011,United Arab Emirates,ARE,Middle East & North Africa,High income,2011,26.9,75,Yes,Yes,Yes,No,2007-2011
194,194,ARE2012,United Arab Emirates,ARE,Middle East & North Africa,High income,2012,26.9,75,Yes,Yes,Yes,No,2012-2016
195,195,ARE2013,United Arab Emirates,ARE,Middle East & North Africa,High income,2013,26.9,75,Yes,Yes,Yes,No,2012-2016
196,196,ARE2014,United Arab Emirates,ARE,Middle East & North Africa,High income,2014,26.9,75,Yes,Yes,Yes,No,2012-2016
197,197,ARE2015,United Arab Emirates,ARE,Middle East & North Africa,High income,2015,26.9,75,Yes,Yes,Yes,No,2012-2016
198,198,ARE2016,United Arab Emirates,ARE,Middle East & North Africa,High income,2016,26.9,75,Yes,Yes,Yes,No,2012-2016
199,199,ARE2017,United Arab Emirates,ARE,Middle East & North Africa,High income,2017,26.9,75,Yes,Yes,Yes,No,2017-2021
200,200,ARE2018,United Arab Emirates,ARE,Middle East & North Africa,High income,2018,26.9,75,Yes,Yes,Yes,No,2017-2021
201,201,ARE2019,United Arab Emirates,ARE,Middle East & North Africa,High income,2019,30.0,75,Yes,Yes,Yes,No,2017-2021
202,202,ARE2020,United Arab Emirates,ARE,Middle East & North Africa,High income,2020,59.4,100,Yes,Yes,Yes,Yes,2017-2021
203,203,ARE2021,United Arab Emirates,ARE,Middle East & North Africa,High income,2021,82.5,100,Yes,Yes,Yes,Yes,2017-2021
205,205,ARG1972,Argentina,ARG,Latin America & Caribbean,Upper middle income,1972,30.6,0,No,No,No,No,1972-1976
206,206,ARG1973,Argentina,ARG,Latin America & Caribbean,Upper middle income,1973,30.6,0,No,No,No,No,1972-1976
207,207,ARG1974,Argentina,ARG,Latin America & Caribbean,Upper middle income,1974,30.6,0,No,No,No,No,1972-1976
208,208,ARG1975,Argentina,ARG,Latin America & Caribbean,Upper middle income,1975,30.6,0,No,No,No,No,1972-1976
209,209,ARG1976,Argentina,ARG,Latin America & Caribbean,Upper middle income,1976,32.5,0,No,No,No,No,1972-1976
210,210,ARG1977,Argentina,ARG,Latin America & Caribbean,Upper middle income,1977,38.8,0,No,No,No,No,1977-1981
